Entity,Code,Year,life_expectancy_0__sex_total__age_0,gdp_per_capita,900793-annotations,population_historical,owid_region
Afghanistan,AFG,2022,65.617,1357.9878,,40578846,
Africa,,2022,62.9205,,,1446883817,
Africa (UN),,2022,,,,1446883651,
Albania,ALB,2022,78.7688,12978.101,,2827615,
Algeria,DZA,2022,76.1289,13506.444,,45477391,
American Samoa,ASM,2022,72.7521,,,48365,
Americas,,2022,76.1444,,,,
Americas (UN),,2022,,,,1034848562,
Andorra,AND,2022,84.0164,,,79722,
Angola,AGO,2022,64.2455,6118.905,,35635028,
Anguilla,AIA,2022,79.1194,,,14202,
Antigua and Barbuda,ATG,2022,77.4833,,,92851,
Argentina,ARG,2022,75.8061,18292.318,,45407904,
Armenia,ARM,2022,74.6333,13837.577,,2880883,
Aruba,ABW,2022,76.2258,,,107792,
Asia,,2022,74.4278,,,4746329726,
Asia (UN),,2022,,,,4747661012,
Asia (excl. China and India),,2022,,,,1822759552,
Australia,AUS,2022,82.7662,52049.43,,26200987,
Austria,AUT,2022,81.2959,43792.855,,9064679,
Azerbaijan,AZE,2022,74.125,17682.94,,10295307,
Bahamas,BHS,2022,74.4911,,,397544,
Bahrain,BHR,2022,80.9921,38651.6,,1533459,
Bangladesh,BGD,2022,74.2647,4925.721,,169384890,
Barbados,BRB,2022,75.6761,11545.848,,282324,
Belarus,BLR,2022,74.3612,18699.799,,9173241,
Belgium,BEL,2022,81.1589,41872.395,,11641813,
Belize,BLZ,2022,72.1904,,,402741,
Benin,BEN,2022,60.4751,2477.0903,,13759507,
Bermuda,BMU,2022,82.0616,,,64772,
Bhutan,BTN,2022,72.754,,,780920,
Bolivia,BOL,2022,67.4342,6481.3906,,12077155,
Bonaire Sint Eustatius and Saba,BES,2022,78.1545,,,28654,
Bosnia and Herzegovina,BIH,2022,76.7772,12142.863,,3204805,
Botswana,BWA,2022,68.7487,16351.91,,2439895,
Brazil,BRA,2022,74.8719,14640.076,,210306411,
British Virgin Islands,VGB,2022,77.177,,,38344,
Brunei,BRN,2022,72.9171,,,455374,
Bulgaria,BGR,2022,74.0342,20592.455,,6825863,
Burkina Faso,BFA,2022,60.7,1704.966,,22509037,
Burundi,BDI,2022,62.8819,717.22845,,13321101,
Cambodia,KHM,2022,70.528,3944.2468,,17201717,
Cameroon,CMR,2022,62.4428,2812.2148,,27632771,
Canada,CAN,2022,81.2493,45529.645,,38821260,
Cape Verde,CPV,2022,75.9068,7202.767,,519750,
Cayman Islands,CYM,2022,79.9841,,,71609,
Central African Republic,CAF,2022,18.8177,596.393,,5098038,
Chad,TCD,2022,54.5275,1393.5635,,18455319,
Chile,CHL,2022,79.1762,22740.72,,19553032,
China,CHN,2022,78.2021,19238.18,,1425179562,
Colombia,COL,2022,76.5081,14468.964,,51737944,
Comoros,COM,2022,66.4806,1900.3983,,834192,
Congo,COG,2022,65.0003,4187.507,,6035107,
Cook Islands,COK,2022,75.0787,,,14747,
Costa Rica,CRI,2022,79.3164,15496.82,,5081765,
Cote d'Ivoire,CIV,2022,61.5622,4011.7122,,30395003,
Croatia,HRV,2022,78.2779,26986.752,,3907031,
Cuba,CUB,2022,77.6291,7648.704,,11059821,
Curacao,CUW,2022,76.7287,,,185351,
Cyprus,CYP,2022,80.4337,31523.498,,1331376,
Czechia,CZE,2022,79.1648,32247.395,,10673216,
Czechoslovakia,OWID_CZS,2022,,30640.914,,,
Democratic Republic of Congo,COD,2022,60.9789,844.172,,102396974,
Denmark,DNK,2022,81.2906,50689.68,,5902898,
Djibouti,DJI,2022,65.5402,3623.0603,,1137100,
Dominica,DMA,2022,71.0806,8879.6455,,66850,
Dominican Republic,DOM,2022,74.2108,17713.52,,11230734,
East Asia (MPD),,2022,,21728.52,,,
East Timor,TLS,2022,67.3684,,,1369299,
Eastern Europe (MPD),,2022,,20656.266,,,
Ecuador,ECU,2022,76.5767,10124.076,,17823900,
Egypt,EGY,2022,71.0097,13205.406,,112618251,
El Salvador,SLV,2022,71.9695,9218.905,,6280316,
Equatorial Guinea,GNQ,2022,63.3545,22707.22,,1803550,
Eritrea,ERI,2022,67.7892,,,3409452,
Estonia,EST,2022,78.1674,30067.395,,1350092,
Eswatini,SWZ,2022,63.0283,8522.45,,1218921,
Ethiopia,ETH,2022,66.8971,2289.409,,125384285,
Europe,,2022,78.1827,,,748296158,
Europe (UN),,2022,,,,746964589,
Europe (excl. Russia),,2022,,,,608696896,
European Union (27),,2022,,,,449113453,
Falkland Islands,FLK,2022,79.0448,,,3515,
Faroe Islands,FRO,2022,79.2637,,,54039,
Fiji,FJI,2022,67.1481,,,919428,
Finland,FIN,2022,81.2435,40701.465,,5569299,
Former Sudan,,2022,,2405.275,,,
France,FRA,2022,82.4753,39065.71,,66277412,
French Guiana,GUF,2022,76.7942,,,298319,
French Polynesia,PYF,2022,83.8594,,,280389,
Gabon,GAB,2022,67.713,15720.901,,2430752,
Gambia,GMB,2022,64.859,2010.5322,,2636473,
Georgia,GEO,2022,74.1409,14360.359,,3794783,
Germany,DEU,2022,80.5796,46647.793,,84086228,
Ghana,GHA,2022,65.246,4242.4106,,33149151,
Gibraltar,GIB,2022,83.5167,,,37631,
